iter	RMSE
195	2.505180695
196	2.483084779
197	2.464954493
198	2.452360019
199	2.438542216
200	2.421122198
201	2.410413675
202	2.399932795
203	2.384036326
204	2.370299623
205	2.360236659
206	2.345601372
207	2.326467883
208	2.310475651
209	2.297998433
210	2.281400464
211	2.26912105
212	2.254013292
213	2.241161842
214	2.223996279
215	2.214194615
216	2.200982207
217	2.188380487
218	2.171404029
219	2.165980825
220	2.16040163
221	2.146158148
222	2.140348066
223	2.133326626
224	2.126857098
225	2.109833727
226	2.100395908
227	2.095740411
228	2.090394717
229	2.084886606
230	2.07035206
231	2.058451925
232	2.040979525
233	2.030537743
234	2.016455186
235	2.012114302
236	2.007107766
237	2.002502245
238	1.989061882
239	1.984803194
240	1.973173352
241	1.960187966
242	1.955260158
243	1.951006546
244	1.946422768
245	1.932274799
246	1.919054196
247	1.915018626
248	1.90187584
249	1.890194906
250	1.884422926
251	1.880748222
252	1.873254991
253	1.869527438
254	1.865838632
255	1.861344625
256	1.851091785
257	1.837101503
258	1.823626274
259	1.813755197
260	1.810116508
261	1.79835665
262	1.794291693
263	1.790035331
264	1.786265356
265	1.773246725
266	1.759094917
267	1.743512137
268	1.739912643
269	1.735908021
270	1.722025308
271	1.717935378
272	1.713990517
273	1.700965477
274	1.692808654
275	1.682276368
276	1.673261712
277	1.670440057
278	1.664067536
279	1.661092677
280	1.657907697
281	1.64665925
282	1.643993861
283	1.634177584
284	1.624904876
285	1.621883358
286	1.612109619
287	1.605029674
288	1.592069939
289	1.581898606
290	1.579179742
291	1.57307572
292	1.569972848
293	1.566391701
294	1.557318895
295	1.546116787
296	1.531662105
297	1.527943036
298	1.524802673
299	1.513282238
300	1.505266684
301	1.494450653
302	1.483496857
303	1.479625086
304	1.469094073
305	1.460737082
306	1.446940021
307	1.43830762
308	1.430021923
309	1.427453338
310	1.42436476
311	1.415308639
312	1.412478074
313	1.405641419
314	1.403522391
315	1.394471058
316	1.391810236
317	1.386450061
318	1.375217739
319	1.372629721
320	1.370437032
321	1.367883733
322	1.359140298
323	1.352326321
324	1.345762012
325	1.337566979
326	1.331603808
327	1.329293864
328	1.320487095
329	1.318171938
330	1.313137845
331	1.310869994
332	1.303701143
333	1.300271538
334	1.298666532
335	1.296559171
336	1.29437678
337	1.288747881
338	1.279207077
339	1.271364709
340	1.267323406
341	1.262787726
342	1.254724078
343	1.252777618
344	1.250240917
345	1.244296737
346	1.242291824
347	1.236884774
348	1.231633817
349	1.228116786
350	1.218642161
351	1.216938007
352	1.210720215
353	1.203943244
354	1.202107778
355	1.195348206
356	1.190438584
357	1.185961731
358	1.180486825
359	1.175718707
360	1.169453911
361	1.162572025
362	1.154252983
363	1.146928703
364	1.143935188
365	1.141755059
366	1.140282485
367	1.134225098
368	1.130909076
369	1.12926835
370	1.12696696
371	1.121874852
372	1.120459946
373	1.114569221
374	1.107886837
375	1.099906073
376	1.09401441
377	1.089686243
378	1.085218757
379	1.079733729
380	1.076510414
381	1.070056415
382	1.065651677
383	1.059802302
384	1.056921351
385	1.049267414
386	1.042482148
387	1.037552391
388	1.033456773
389	1.030835746
390	1.027642304
391	1.023516716
392	1.021210067
393	1.013150182
394	1.005931903
395	0.9980392702
396	0.9951172396
397	0.9879888421
398	0.9830975406
399	0.9796826039
400	0.9777760629
401	0.972547008
402	0.9674645417
403	0.9664232166
404	0.9618682979
405	0.9547931365
406	0.9539940668
407	0.9466705106
408	0.9411191582
409	0.9365911823
410	0.9317833782
411	0.9269070215
412	0.9246004043
413	0.9227754844
414	0.920741462
415	0.9177121437
416	0.9120410554
417	0.9101111215
418	0.9047024589
419	0.8992320844
420	0.8952619457
421	0.8889003665
422	0.886516421
423	0.8816533551
424	0.8769753682
425	0.8722436574
426	0.8666790515
427	0.865116791
428	0.861946773
429	0.8594457141
430	0.8558711582
431	0.85401604
432	0.8518402815
433	0.8503387489
434	0.8475834777
435	0.8465043791
436	0.8438784938
437	0.8394882619
438	0.8358882895
439	0.8318210835
440	0.8303619688
441	0.8256088184
442	0.8203624298
443	0.8187270918
444	0.8170397591
445	0.8138196892
446	0.8124368655
447	0.8113169731
448	0.8063757437
449	0.8056878515
450	0.8020505411
451	0.796029647
452	0.7943905387
453	0.7915747563
454	0.7853532735
455	0.7810269485
456	0.7798620445
457	0.7768767084
458	0.7744243696
459	0.7704922386
460	0.7674341048
461	0.764555741
462	0.7634775422
463	0.7610217953
464	0.7573609123
465	0.7552554575
466	0.7495512572
467	0.7453018583
468	0.7427079205
469	0.7411172399
470	0.7366096893
471	0.7352107198
472	0.7330156717
473	0.7315130249
474	0.7261085574
475	0.723228453
476	0.7197558056
477	0.7169460751
478	0.7150739734
479	0.7118635572
480	0.7095411041
481	0.7070643808
482	0.7028629075
483	0.6995454866
484	0.6966942961
485	0.6947918603
486	0.6921613785
487	0.6882260528
488	0.6866038554
489	0.6827274472
490	0.6812454475
491	0.6774916299
492	0.6748499832
493	0.6712863469
494	0.6679704225
495	0.6635494845
496	0.6621488147
497	0.6592820798
498	0.6563284102
499	0.6533742423
500	0.6508937923
501	0.6471826762
502	0.6449516133
503	0.6425523072
504	0.6400066965
505	0.6365963794
506	0.6333829098
507	0.6315779096
508	0.6295522817
509	0.6268099244
510	0.6249892518
511	0.622729898
512	0.6200063477
513	0.6161954837
514	0.6128465535
515	0.6105594535
516	0.6078078151
517	0.606666107
518	0.6047027907
519	0.6010830429
520	0.5981071426
521	0.5945687525
522	0.5919542057
523	0.5875338507
524	0.585338279
525	0.5814607333
526	0.5794078407
527	0.5774466584
528	0.5758550321
529	0.5733137804
530	0.5706522593
531	0.5683648885
532	0.5666144964
533	0.5650812053
534	0.5633161062
535	0.5615048095
536	0.5599538057
537	0.5581454169
538	0.556538376
539	0.554306005
540	0.550829858
541	0.548322599
542	0.5457671994
543	0.5433165946
544	0.5406024851
545	0.5387462678
546	0.5361363123
547	0.5348018495
548	0.5324316085
549	0.5308398474
550	0.5290866479
551	0.5279919347
552	0.525155464
553	0.5234979869
554	0.5220758568
555	0.5206560707
556	0.5178200403
557	0.5157706371
558	0.5140058893
559	0.5116255281
560	0.5089026847
561	0.5077467912
562	0.5043835417
563	0.5027432566
564	0.499534278
565	0.4964001514
566	0.4945662869
567	0.4930591625
568	0.4909416597
569	0.4885932616
570	0.4865993585
571	0.484748444
572	0.4818185427
573	0.4801568018
574	0.4779033332
575	0.4761992107
576	0.4742019005
577	0.4724749377
578	0.4712016303
579	0.4697743638
580	0.4684612578
581	0.4668280875
582	0.4648087359
583	0.4631540151
584	0.4617139228
585	0.4600393077
586	0.4581001465
587	0.4559916635
588	0.4536988718
589	0.4516906803
590	0.4502783917
591	0.4486840909
592	0.4470917755
593	0.4454982267
594	0.4439898161
595	0.4422653756
596	0.4404957268
597	0.4391516428
598	0.437493594
599	0.4362490137
600	0.4341323188
601	0.4330455638
602	0.4309546652
603	0.4284408177
604	0.4264892216
605	0.4254294831
606	0.4242591786
607	0.4225609317
608	0.4209797608
609	0.4190063227
610	0.4180210356
611	0.4169090819
612	0.4160775171
613	0.4151225974
614	0.4142895139
615	0.4132522446
616	0.4118197632
617	0.4104465239
618	0.4079931071
619	0.4065358813
620	0.4053104332
621	0.4044924939
622	0.4031807521
623	0.4018435302
624	0.4002524617
625	0.3986923436
626	0.3972691765
627	0.3956910219
628	0.3946499639
629	0.3932658647
630	0.3919093639
631	0.3909973699
632	0.3899488607
633	0.3887650429
634	0.3872386621
635	0.3855591583
636	0.384359529
637	0.3833236459
638	0.3820429438
639	0.3807648928
640	0.3799161381
641	0.3779819913
642	0.3757301095
643	0.3743091342
644	0.3731881506
645	0.3721993785
646	0.3708476242
647	0.3687353169
648	0.3682675267
649	0.3670294401
650	0.3661076566
651	0.3655229239
652	0.3633314005
653	0.3626858496
654	0.3610550578
655	0.3600331874
656	0.3587500845
657	0.3578998489
658	0.3570118624
659	0.3560213992
660	0.3548003231
661	0.3538048749
662	0.3519329325
663	0.350219897
664	0.3489910193
665	0.3481133227
666	0.3473449078
667	0.3456112244
668	0.344773769
669	0.3438328248
670	0.3422350019
671	0.3411459089
672	0.3397831101
673	0.3389291836
674	0.3379939477
675	0.3368160283
676	0.3361729387
677	0.3349103366
678	0.3334512544
679	0.3325973184
680	0.3310717516
681	0.3301803044
682	0.3288958254
683	0.3281087859
684	0.326437094
685	0.3246483979
686	0.3229698376
687	0.3221140941
688	0.32127765
689	0.3199458044
690	0.3191198767
691	0.318216243
692	0.3175204411
693	0.3164817438
694	0.3156594471
695	0.3151849959
696	0.3145774026
697	0.3137473732
698	0.3131136622
699	0.3126644846
700	0.3113861365
701	0.3098605477
702	0.3087104928
703	0.3071746462
704	0.3063356603
705	0.3047125763
706	0.3033555295
707	0.3021104772
708	0.3007625615
709	0.2993351057
710	0.2987269669
711	0.297361751
712	0.2962781312
713	0.2947498922
714	0.2932667389
715	0.2926713941
716	0.2917560094
717	0.2911194238
718	0.2903979309
719	0.2890139332
720	0.2883558309
721	0.2877540014
722	0.2867790654
723	0.285931983
724	0.2841724267
725	0.28329552
726	0.2824680461
727	0.2816738457
728	0.2806125554
729	0.2798727728
730	0.2788171114
731	0.2775619621
732	0.2761922443
733	0.2757251624
734	0.2747554835
735	0.2742783592
736	0.2731853023
737	0.2724660817
738	0.2718209106
739	0.2705286797
740	0.2700345135
741	0.2688625218
742	0.268200606
743	0.2668379556
744	0.2653364277
745	0.2645615297
746	0.2634616861
747	0.2623171356
748	0.2611451983
749	0.2604309863
750	0.2600834205
751	0.259522111
752	0.2578773435
753	0.2573448264
754	0.2564031988
755	0.2557810754
756	0.2545639593
757	0.2539985073
758	0.2530663727
759	0.2524143777
760	0.251927201
761	0.2514129827
762	0.2505767525
763	0.2499247561
764	0.2488736575
765	0.2483882276
766	0.2479940571
767	0.2471807368
768	0.2466580037
769	0.2459663849
770	0.244535542
771	0.2441890404
772	0.243477737
773	0.242459405
774	0.2419644624
775	0.2417105059
776	0.2408614491
777	0.2404264057
778	0.2400423032
779	0.2396228813
780	0.2386246594
781	0.2377392505
782	0.2369102106
783	0.2363289555
784	0.2351270449
785	0.2348038426
786	0.2343331875
787	0.2332681176
788	0.2327788336
789	0.2322551858
790	0.2318276057
791	0.2314748963
792	0.230931464
793	0.2300197394
794	0.2295547411
795	0.2285323183
796	0.2278921417
797	0.2274766689
798	0.2266769398
799	0.2260564758
800	0.2251726232
801	0.2247206233
802	0.2237045281
803	0.2230929113
804	0.2224106408
805	0.2215478408
806	0.2209336961
807	0.2205695715
808	0.219958416
809	0.2194877534
810	0.2185927302
811	0.2179820754
812	0.2176546834
813	0.2171646644
814	0.2165722542
815	0.2160832087
816	0.2155313193
817	0.2150636858
818	0.2139473315
819	0.2133573196
820	0.2126703929
821	0.2120834109
822	0.211409313
823	0.2105158992
824	0.2097808977
825	0.2089865484
826	0.2082150126
827	0.2077897644
828	0.2073731253
829	0.2065625838
830	0.205934797
831	0.2051832636
832	0.2041055122
833	0.2033230543
834	0.2030033656
835	0.2020816669
836	0.200951311
837	0.2003417971
838	0.2000241154
839	0.1993335315
840	0.1991561803
841	0.1985066755
842	0.1979893297
843	0.1976270371
844	0.1972320737
845	0.1965448304
846	0.1961825879
847	0.1954133723
848	0.1950542564
849	0.1945104174
850	0.1941848577
851	0.1934310275
852	0.1927276207
853	0.1917559773
854	0.1911817504
855	0.1905383282
856	0.1901271159
857	0.1898246793
858	0.1894700257
859	0.1891489327
860	0.1889387111
861	0.1886016387
862	0.1874734187
863	0.1868768449
864	0.1861429167
865	0.1855652548
866	0.1849553535
867	0.1845715255
868	0.1842932249
869	0.1834885131
870	0.1830231349
871	0.1826781581
872	0.1821104832
873	0.1811053466
874	0.1808511714
875	0.1804924868
876	0.1795846596
877	0.1790699186
878	0.1787460702
879	0.1783583569
880	0.1780001353
881	0.1773962107
882	0.1772278297
883	0.1766540667
884	0.1762755008
885	0.1756506573
886	0.1753430294
887	0.174435401
888	0.1738059961
889	0.1732451844
890	0.172728805
891	0.1720474823
892	0.1712490421
893	0.1706035634
894	0.1702609711
895	0.1699565314
896	0.1693779248
897	0.1687934152
898	0.1682165791
899	0.1679425783
900	0.1676468139
901	0.1671441376
902	0.1669067517
903	0.1662244463
904	0.165758642
905	0.165528703
906	0.1653308309
907	0.1648372048
908	0.1641717145
909	0.1638442838
910	0.1634555651
911	0.1630932145
912	0.162482567
913	0.1621518702
914	0.1618357194
915	0.1612590592
916	0.1605047712
917	0.1602503292
918	0.1599526615
919	0.1596115137
920	0.1589534047
921	0.1586697959
922	0.1580260673
923	0.15724159
924	0.1567816397
925	0.1565265529
926	0.1562416591
927	0.1558921733
928	0.1556649357
929	0.1553688103
930	0.1552635812
931	0.1545965888
932	0.1544591991
933	0.1537080393
934	0.1531694559
935	0.1528030652
936	0.1525181989
937	0.1522059357
938	0.1518901502
939	0.1511244832
940	0.1509761312
941	0.1508963943
942	0.1507044391
943	0.1502511354
944	0.1497032289
945	0.1495111325
946	0.1491407681
947	0.1486093897
948	0.1478526851
949	0.1473876089
950	0.1470088229
951	0.1463297894
952	0.1460666612
953	0.1456098454
954	0.1452637168
955	0.1450151189
956	0.1447436669
957	0.1442835934
958	0.1438835137
959	0.1437228917
960	0.1433586038
961	0.1430887087
962	0.1428934061
963	0.1426403845
964	0.1422485657
965	0.1417784649
966	0.141663833
967	0.1410660182
968	0.140489975
969	0.1403869501
970	0.1400942944
971	0.1398509141
972	0.1393381589
973	0.1388546576
974	0.1384904588
975	0.1380998966
976	0.1374993379
977	0.1370636938
978	0.1368572046
979	0.1367466005
980	0.1362635416
981	0.136020445
982	0.1359192399
983	0.1358082498
984	0.1356984808
985	0.1352379832
986	0.1349535665
987	0.1345157274
988	0.1344349942
989	0.1339607569
990	0.1336253064
991	0.1333883113
992	0.133256461
993	0.1330225139
994	0.1324982553
995	0.1320047431
996	0.1315520697
997	0.131342617
998	0.1312314429
999	0.1309985289
